external_id,subject,strand,topic,essential_question_type,variant_type,exam_type,year_level,difficulty,marks,time_limit_seconds,answer_format,question_text,option_a,option_b,option_c,option_d,option_e,option_asset_refs_json,option_explanations_json,correct_answer,worked_solution,stimulus_id,stimulus_title,stimulus_type,stimulus_text,stimulus_asset_refs,question_asset_refs,solution_asset_refs,input_method,display_mode,answer_validation_json,rubric_json,skill_tags,concept_tags,tags,source_name,source_paper,source_section,source_question_number,license_notes,asset_generation_prompt,asset_alt_text,asset_spec_json,asset_status,status,domain_code,subtopic_code,skill_code,pattern_key,question_family,stimulus_format,stimulus_genre,asset_render_method,writing_form,writing_purpose,writing_prompt_stimulus,asset_type,asset_required
ts-abstract-spatial-1-001,Thinking Skills,Abstract and Spatial Reasoning,Pattern recognition,,,Selective,6,2,1,60,single_choice,The grid is made from a small block of four shapes repeated over and over. One cell is covered by a question mark. Which shape belongs there?,,,,,,"{""A"":""asset://question-assets/generated/ts-abstract-spatial-1-001-a.svg"",""B"":""asset://question-assets/generated/ts-abstract-spatial-1-001-b.svg"",""C"":""asset://question-assets/generated/ts-abstract-spatial-1-001-c.svg"",""D"":""asset://question-assets/generated/ts-abstract-spatial-1-001-d.svg""}","{""A"":""A circle sits in the top-left of each block; the covered cell is in the top-right of its block."",""B"":""Correct — every 2×2 block is circle, square / triangle, diamond. The covered cell is the top-right of its block, which is always a square."",""C"":""A triangle is the bottom-left of each block, not the top-right."",""D"":""A diamond is the bottom-right of each block, not the top-right.""}",B,"The picture is a 2×2 block — circle and square on top, triangle and diamond below — repeated across the grid. A cell’s shape depends only on its position inside the block. The covered cell is in the top-right position of its block, which always holds a square.",,,,,,asset://question-assets/generated/ts-abstract-spatial-1-001-main.svg,,,,,,periodic-pattern,repeating-tile,"thinking-skills, abstract-reasoning, pattern",,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,"A 4 by 4 grid. Every 2 by 2 block repeats the same four shapes: a circle and a square on top, a triangle and a diamond below. One cell in the third row, second column is covered by a question mark.","{""type"":""matrix_pattern"",""rows"":4,""cols"":4,""cell_size"":60,""grid"":[[{""glyph"":{""shape"":""circle"",""scale"":0.55,""fill"":""none""}},{""glyph"":{""shape"":""square"",""scale"":0.55,""fill"":""none""}},{""glyph"":{""shape"":""circle"",""scale"":0.55,""fill"":""none""}},{""glyph"":{""shape"":""square"",""scale"":0.55,""fill"":""none""}}],[{""glyph"":{""shape"":""triangle"",""scale"":0.55,""fill"":""none""}},{""glyph"":{""shape"":""diamond"",""scale"":0.55,""fill"":""none""}},{""glyph"":{""shape"":""triangle"",""scale"":0.55,""fill"":""none""}},{""glyph"":{""shape"":""diamond"",""scale"":0.55,""fill"":""none""}}],[{""glyph"":{""shape"":""circle"",""scale"":0.55,""fill"":""none""}},{""question"":true},{""glyph"":{""shape"":""circle"",""scale"":0.55,""fill"":""none""}},{""glyph"":{""shape"":""square"",""scale"":0.55,""fill"":""none""}}],[{""glyph"":{""shape"":""triangle"",""scale"":0.55,""fill"":""none""}},{""glyph"":{""shape"":""diamond"",""scale"":0.55,""fill"":""none""}},{""glyph"":{""shape"":""triangle"",""scale"":0.55,""fill"":""none""}},{""glyph"":{""shape"":""diamond"",""scale"":0.55,""fill"":""none""}}]]}",generated,draft,abstract_spatial_reasoning,pattern_recognition,,,standard_multiple_choice,matrix,,deterministic_svg,,,,svg,
ts-abstract-spatial-1-002,Thinking Skills,Abstract and Spatial Reasoning,Pattern recognition,,,Selective,6,3,1,75,single_choice,Two rules run through this grid: one decides the shape and one decides the shading. Which figure belongs in the covered cell?,,,,,,"{""A"":""asset://question-assets/generated/ts-abstract-spatial-1-002-a.svg"",""B"":""asset://question-assets/generated/ts-abstract-spatial-1-002-b.svg"",""C"":""asset://question-assets/generated/ts-abstract-spatial-1-002-c.svg"",""D"":""asset://question-assets/generated/ts-abstract-spatial-1-002-d.svg""}","{""A"":""The shape is right (the third column is triangles) but the middle row is shaded, so it should be filled."",""B"":""The shading is right for the middle row, but the third column holds triangles, not squares."",""C"":""Wrong shape (circles are the first column) and wrong shading."",""D"":""Correct — the third column is triangles and the middle row is shaded, so the missing cell is a filled triangle.""}",D,"The shape is set by the column: circles, squares, then triangles. The shading is set by the row: the middle row is filled, the top and bottom rows are empty. The gap is in the third column and middle row, so it is a filled triangle.",,,,,,asset://question-assets/generated/ts-abstract-spatial-1-002-main.svg,,,,,,two-rule-pattern,shape-and-shading,"thinking-skills, abstract-reasoning, pattern",,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,"A 3 by 3 grid. Down each column the shape is fixed (circles, then squares, then triangles). Across each row the shading is fixed (top and bottom rows empty, middle row filled). The middle-row, third-column cell is covered.","{""type"":""matrix_pattern"",""rows"":3,""cols"":3,""cell_size"":74,""grid"":[[{""glyph"":{""shape"":""circle"",""scale"":0.62,""fill"":""none""}},{""glyph"":{""shape"":""square"",""scale"":0.62,""fill"":""none""}},{""glyph"":{""shape"":""triangle"",""scale"":0.62,""fill"":""none""}}],[{""glyph"":{""shape"":""circle"",""scale"":0.62,""fill"":""#1f2933""}},{""glyph"":{""shape"":""square"",""scale"":0.62,""fill"":""#1f2933""}},{""question"":true}],[{""glyph"":{""shape"":""circle"",""scale"":0.62,""fill"":""none""}},{""glyph"":{""shape"":""square"",""scale"":0.62,""fill"":""none""}},{""glyph"":{""shape"":""triangle"",""scale"":0.62,""fill"":""none""}}]]}",generated,draft,abstract_spatial_reasoning,pattern_recognition,,,standard_multiple_choice,matrix,,deterministic_svg,,,,svg,
ts-abstract-spatial-1-003,Thinking Skills,Abstract and Spatial Reasoning,Shape and symbol sequences,,,Selective,6,2,1,60,single_choice,The arrow turns the same amount each step. Which arrow comes next?,,,,,,"{""A"":""asset://question-assets/generated/ts-abstract-spatial-1-003-a.svg"",""B"":""asset://question-assets/generated/ts-abstract-spatial-1-003-b.svg"",""C"":""asset://question-assets/generated/ts-abstract-spatial-1-003-c.svg"",""D"":""asset://question-assets/generated/ts-abstract-spatial-1-003-d.svg""}","{""A"":""Correct — the arrow makes a quarter-turn clockwise each step: right, down, left, then up."",""B"":""Pointing right is where the arrow started; only a quarter-turn is added each step, not a full turn."",""C"":""Pointing down repeats the second arrow; the arrow keeps turning, it does not go back."",""D"":""Pointing left repeats the third arrow.""}",A,"The arrow makes a quarter-turn clockwise at each step: right, then down, then left. The next quarter-turn clockwise points the arrow up.",,,,,,asset://question-assets/generated/ts-abstract-spatial-1-003-main.svg,,,,,,rotation-sequence,quarter-turn,"thinking-skills, abstract-reasoning, sequence",,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,"A row of arrows: pointing right, then down, then left, then a question box.","{""type"":""abstract_shape_sequence"",""cell_size"":84,""cells"":[{""glyph"":{""shape"":""arrow"",""rotation"":0,""scale"":0.7}},{""glyph"":{""shape"":""arrow"",""rotation"":90,""scale"":0.7}},{""glyph"":{""shape"":""arrow"",""rotation"":180,""scale"":0.7}},{""question"":true}]}",generated,draft,abstract_spatial_reasoning,shape_and_symbol_sequences,,,standard_multiple_choice,visual_sequence,,deterministic_svg,,,,svg,
ts-abstract-spatial-1-004,Thinking Skills,Abstract and Spatial Reasoning,Shape and symbol sequences,,,Selective,6,3,1,75,single_choice,Two things change along this row: the outer shape and the number of dots inside it. Which figure comes next?,,,,,,"{""A"":""asset://question-assets/generated/ts-abstract-spatial-1-004-a.svg"",""B"":""asset://question-assets/generated/ts-abstract-spatial-1-004-b.svg"",""C"":""asset://question-assets/generated/ts-abstract-spatial-1-004-c.svg"",""D"":""asset://question-assets/generated/ts-abstract-spatial-1-004-d.svg""}","{""A"":""The dot count is right, but the shapes alternate square, circle, square, so the next shape is a circle."",""B"":""The shape is right, but the dots go up by one each time (1, 2, 3), so the next has 4 dots."",""C"":""Correct — the outer shape alternates to a circle and the dots increase by one to 4."",""D"":""The shape is right, but the dots increase by one each step, giving 4, not 5.""}",C,"Track two things. The outer shape alternates square, circle, square, so a circle is next. The dots increase by one each step: 1, 2, 3, then 4. The missing figure is a circle containing four dots.",,,,,,asset://question-assets/generated/ts-abstract-spatial-1-004-main.svg,,,,,,two-attribute-sequence,shape-alternation-count,"thinking-skills, abstract-reasoning, sequence",,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,"A row of figures: a square with 1 dot, a circle with 2 dots, a square with 3 dots, then a question box.","{""type"":""abstract_shape_sequence"",""cell_size"":84,""cells"":[{""glyphs"":[{""shape"":""square"",""scale"":0.95,""fill"":""none""},{""shape"":""dot"",""count"":1,""scale"":0.6}]},{""glyphs"":[{""shape"":""circle"",""scale"":0.95,""fill"":""none""},{""shape"":""dot"",""count"":2,""scale"":0.6}]},{""glyphs"":[{""shape"":""square"",""scale"":0.95,""fill"":""none""},{""shape"":""dot"",""count"":3,""scale"":0.6}]},{""question"":true}]}",generated,draft,abstract_spatial_reasoning,shape_and_symbol_sequences,,,standard_multiple_choice,visual_sequence,,deterministic_svg,,,,svg,
ts-abstract-spatial-1-005,Thinking Skills,Abstract and Spatial Reasoning,Shape and symbol sequences,,,Selective,6,4,1,90,single_choice,"Three things change at once: the shape, the shading and the size. Which figure comes next?",,,,,,"{""A"":""asset://question-assets/generated/ts-abstract-spatial-1-005-a.svg"",""B"":""asset://question-assets/generated/ts-abstract-spatial-1-005-b.svg"",""C"":""asset://question-assets/generated/ts-abstract-spatial-1-005-c.svg"",""D"":""asset://question-assets/generated/ts-abstract-spatial-1-005-d.svg""}","{""A"":""The shapes cycle circle, square, triangle, so after the fourth figure (a circle) the shape is a square, not a triangle."",""B"":""Correct — the shape cycles to square, the shading alternates back to empty, and the size alternates back to small."",""C"":""Shape and size are right, but the shading alternates empty, filled, empty… so this figure is empty, not filled."",""D"":""Shape and shading are right, but the size alternates small, large, small… so this figure is small, not large.""}",B,"Three rules act together. The shapes cycle circle → square → triangle. The shading alternates empty/filled. The size alternates small/large. The fifth figure is therefore a square (next in the cycle), empty (alternating back), and small (alternating back).",,,,,,asset://question-assets/generated/ts-abstract-spatial-1-005-main.svg,,,,,,three-attribute-sequence,interacting-rules,"thinking-skills, abstract-reasoning, sequence",,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,A row of five cells: small empty circle; large filled square; small empty triangle; large filled circle; then a question box.,"{""type"":""abstract_shape_sequence"",""cell_size"":84,""cells"":[{""glyph"":{""shape"":""circle"",""scale"":0.55,""fill"":""none""}},{""glyph"":{""shape"":""square"",""scale"":0.95,""fill"":""#1f2933""}},{""glyph"":{""shape"":""triangle"",""scale"":0.55,""fill"":""none""}},{""glyph"":{""shape"":""circle"",""scale"":0.95,""fill"":""#1f2933""}},{""question"":true}]}",generated,draft,abstract_spatial_reasoning,shape_and_symbol_sequences,,,standard_multiple_choice,visual_sequence,,deterministic_svg,,,,svg,
ts-abstract-spatial-1-006,Thinking Skills,Abstract and Spatial Reasoning,Codes and symbolic reasoning,,,Selective,6,2,1,60,single_choice,"Use the key to turn each shape in the message into its symbol, reading left to right. Which row of symbols is the message?",,,,,,"{""A"":""asset://question-assets/generated/ts-abstract-spatial-1-006-a.svg"",""B"":""asset://question-assets/generated/ts-abstract-spatial-1-006-b.svg"",""C"":""asset://question-assets/generated/ts-abstract-spatial-1-006-c.svg"",""D"":""asset://question-assets/generated/ts-abstract-spatial-1-006-d.svg""}","{""A"":""Correct — square→dot, triangle→plus, triangle→plus, circle→star, read left to right: dot, plus, plus, star."",""B"":""These are the right symbols but in reverse order; the message is read left to right."",""C"":""The first three are right, but a circle maps to a star, not a plus."",""D"":""A square maps to a dot, not a plus; only the two triangles in the middle are right.""}",A,"Apply the key to each shape in order. Square becomes a dot, each triangle becomes a plus, and the circle becomes a star. Read left to right, the message is dot, plus, plus, star.",,,,,,asset://question-assets/generated/ts-abstract-spatial-1-006-main.svg,,,,,,substitution-code,symbol-decode,"thinking-skills, abstract-reasoning, code",,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,"A key: circle maps to a star, triangle maps to a plus, square maps to a dot. Below it a message row shows four shapes in order: square, triangle, triangle, circle.","{""type"":""symbol_key"",""key"":[{""shape"":""circle"",""symbol"":""star""},{""shape"":""triangle"",""symbol"":""plus""},{""shape"":""square"",""symbol"":""dot""}],""message"":[""square"",""triangle"",""triangle"",""circle""]}",generated,draft,abstract_spatial_reasoning,codes_and_symbolic_reasoning,,,standard_multiple_choice,visual_sequence,,deterministic_svg,,,,svg,
ts-abstract-spatial-1-007,Thinking Skills,Abstract and Spatial Reasoning,Codes and symbolic reasoning,,,Selective,6,3,1,75,single_choice,"A code shifts every letter forward three places in the alphabet, so A becomes D, B becomes E, and near the end X becomes A, Y becomes B, Z becomes C. Using this code, the word **DOG** is written as **GRJ**. What ordinary word does the coded word **FDW** stand for?",CAR,BAT,FAT,CAT,,,"{""A"":""Shifting CAR forward three gives FDU, not FDW."",""B"":""BAT shifts to EDW, not FDW."",""C"":""FAT shifts to IDW, not FDW; here the F was left unchanged instead of being shifted back."",""D"":""Correct — shifting each code letter back three gives F→C, D→A, W→T, spelling CAT.""}",D,"The code shifts each letter forward three places, so to read it we shift each letter back three. F back three is C, D back three is A, and W back three is T. The word is CAT.",,,,,,,,,,,,shift-cipher,reverse-the-rule,"thinking-skills, code, letters",,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,,,,draft,abstract_spatial_reasoning,codes_and_symbolic_reasoning,,,standard_multiple_choice,none,,rich_text,,,,,
ts-abstract-spatial-1-008,Thinking Skills,Abstract and Spatial Reasoning,Codes and symbolic reasoning,,,Selective,6,3,1,75,single_choice,"Each letter is written as two numbers: its **row** followed by its **column** in the grid below (I and J share a cell).

|   | 1 | 2 | 3 | 4 | 5 |
|---|---|---|---|---|---|
| **1** | A | B | C | D | E |
| **2** | F | G | H | I/J | K |
| **3** | L | M | N | O | P |
| **4** | Q | R | S | T | U |
| **5** | V | W | X | Y | Z |

What is the code for the word **CAB**?","31, 11, 21","11, 12, 13","13, 11, 12","13, 12, 11",,,"{""A"":""This reads column-then-row; the code is row first, then column, so C is 13, not 31."",""B"":""These are the codes for A, B, C in alphabetical order, but the word is C-A-B, so the order is 13, 11, 12."",""C"":""Correct — C is row 1 column 3 (13), A is 11, B is 12; in the word’s order that is 13, 11, 12."",""D"":""The codes are right but B and A are swapped; the word spells C-A-B, giving 13, 11, 12.""}",C,"Find each letter and write its row then its column. C is row 1, column 3 (13); A is 11; B is 12. Keeping the order of the word C-A-B gives 13, 11, 12.",,,,,,,,,,,,coordinate-code,row-then-column,"thinking-skills, code, grid",,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,,,,draft,abstract_spatial_reasoning,codes_and_symbolic_reasoning,,,standard_multiple_choice,none,,rich_text,,,,,
ts-abstract-spatial-1-009,Thinking Skills,Abstract and Spatial Reasoning,Matrices and visual analogies,,,Selective,6,3,1,75,single_choice,In this grid each row fixes the shape and each column fixes the size. Which figure completes the bottom-right cell?,,,,,,"{""A"":""asset://question-assets/generated/ts-abstract-spatial-1-009-a.svg"",""B"":""asset://question-assets/generated/ts-abstract-spatial-1-009-b.svg"",""C"":""asset://question-assets/generated/ts-abstract-spatial-1-009-c.svg"",""D"":""asset://question-assets/generated/ts-abstract-spatial-1-009-d.svg""}","{""A"":""Correct — each row is one shape (bottom row triangles) and each column grows (third column is largest), so the cell is the largest triangle."",""B"":""Right shape, but the third column is the largest size, so it should be large."",""C"":""Right size, but the bottom row is triangles, not squares."",""D"":""Right size, but circles are the top row, not the bottom.""}",A,"The rows fix the shape — circles, then squares, then triangles. The columns fix the size — small, medium, then large. The missing bottom-right cell is a triangle at the largest size.",,,,,,asset://question-assets/generated/ts-abstract-spatial-1-009-main.svg,,,,,,matrix-two-rules,shape-by-row-size-by-column,"thinking-skills, abstract-reasoning, matrix",,,,,Original AI-generated content modelled on the style of NSW Selective practice papers; no text copied or paraphrased from any published material.,,"A 3 by 3 grid. Each row is one shape: circles, then squares, then triangles. Each column grows in size from small to medium to large. The bottom-right cell is covered.","{""type"":""matrix_pattern"",""rows"":3,""cols"":3,""cell_size"":78,""grid"":[[{""glyph"":{""shape"":""circle"",""scale"":0.5,""fill"":""none""}},{""glyph"":{""shape"":""circle"",""scale"":0.75,""fill"":""none""}},{""glyph"":{""shape"":""circle"",""scale"":1,""fill"":""none""}}],[{""glyph"":{""shape"":""square"",""scale"":0.5,""fill"":""none""}},{""glyph"":{""shape"":""square"",""scale"":0.75,""fill"":""none""}},{""glyph"":{""shape"":""square"",""scale"":1,""fill"":""none""}}],[{""glyph"":{""shape"":""triangle"",""scale"":0.5,""fill"":""none""}},{""glyph"":{""shape"":""triangle"",""scale"":0.75,""fill"":""none""}},{""question"":true}]]}",generated,draft,abstract_spatial_reasoning,matrices_and_visual_analogies,,,standard_multiple_choice,matrix,,deterministic_svg,,,,svg,
