external_id,subject,strand,topic,essential_question_type,variant_type,exam_type,year_level,difficulty,marks,time_limit_seconds,answer_format,question_text,option_a,option_b,option_c,option_d,option_e,option_asset_refs_json,option_explanations_json,correct_answer,worked_solution,short_explanation,stimulus_id,stimulus_title,stimulus_type,stimulus_text,stimulus_asset_refs,question_asset_refs,solution_asset_refs,input_method,display_mode,answer_validation_json,rubric_json,skill_tags,concept_tags,tags,source_name,source_paper,source_section,source_question_number,license_notes,asset_generation_prompt,asset_alt_text,status
WRITE-NARR-001,Writing,Written Expression,Imaginative Writing,Narrative,mystery-discovery,Selective,6,3,20,1800,extended_response,Write a narrative in which a character finds a message hidden inside an ordinary object. Build tension before revealing why the message matters.,,,,,,,,,,"Plan your response, keep the purpose clear, and leave time to check expression and conventions.",stim-write-message-01,Narrative,writing_context,"A quiet classroom after school, a locked cupboard, and a pencil case with a note tucked inside.",,,,textarea,split_stimulus,,"{""textType"":""narrative"",""criteria"":[{""name"":""Ideas and content"",""description"":""Relevance, originality, development and control of ideas for the task."",""maxMarks"":6},{""name"":""Structure"",""description"":""Organisation, paragraphing, sequencing and cohesion."",""maxMarks"":5},{""name"":""Vocabulary"",""description"":""Precise word choice, tone and language appropriate to purpose."",""maxMarks"":3},{""name"":""Sentence control"",""description"":""Sentence variety, clarity and fluency."",""maxMarks"":3},{""name"":""Audience awareness"",""description"":""Control of voice, purpose and reader engagement."",""maxMarks"":2},{""name"":""Grammar, punctuation, spelling"",""description"":""Accuracy of conventions and proofreading control."",""maxMarks"":1}],""scoreBands"":[{""band"":""Excellent"",""range"":""17-20"",""descriptor"":""Confident, controlled writing with strong ideas, clear structure and purposeful language.""},{""band"":""Strong"",""range"":""13-16"",""descriptor"":""Clear and mostly sustained response with relevant detail and sound control.""},{""band"":""Developing"",""range"":""8-12"",""descriptor"":""Understands the task but ideas, structure or language control are uneven.""},{""band"":""Emerging"",""range"":""0-7"",""descriptor"":""Brief, unclear or weakly organised response with frequent lapses in control.""}],""sampleAnswerNotes"":""A strong response plans before writing, matches the requested text type, develops ideas with specific detail, and edits for clarity."",""planningHints"":[""Clarify the audience and purpose before drafting."",""Plan the beginning, middle and ending or main sections."",""Choose two or three details you can develop rather than listing many briefly.""]}","narrative,planning,audience-awareness","narrative,written-expression","writing,narrative,timed-task",AI Generated,,,,Original generated content; review before publication,,,draft
WRITE-NARR-002,Writing,Written Expression,Imaginative Writing,Narrative,change-of-plan,Selective,6,3,20,1800,extended_response,Write a narrative about a carefully planned day that changes because of one unexpected sound. Include a clear complication and resolution.,,,,,,,,,,"Plan your response, keep the purpose clear, and leave time to check expression and conventions.",,,,,,,,textarea,standard,,"{""textType"":""narrative"",""criteria"":[{""name"":""Ideas and content"",""description"":""Relevance, originality, development and control of ideas for the task."",""maxMarks"":6},{""name"":""Structure"",""description"":""Organisation, paragraphing, sequencing and cohesion."",""maxMarks"":5},{""name"":""Vocabulary"",""description"":""Precise word choice, tone and language appropriate to purpose."",""maxMarks"":3},{""name"":""Sentence control"",""description"":""Sentence variety, clarity and fluency."",""maxMarks"":3},{""name"":""Audience awareness"",""description"":""Control of voice, purpose and reader engagement."",""maxMarks"":2},{""name"":""Grammar, punctuation, spelling"",""description"":""Accuracy of conventions and proofreading control."",""maxMarks"":1}],""scoreBands"":[{""band"":""Excellent"",""range"":""17-20"",""descriptor"":""Confident, controlled writing with strong ideas, clear structure and purposeful language.""},{""band"":""Strong"",""range"":""13-16"",""descriptor"":""Clear and mostly sustained response with relevant detail and sound control.""},{""band"":""Developing"",""range"":""8-12"",""descriptor"":""Understands the task but ideas, structure or language control are uneven.""},{""band"":""Emerging"",""range"":""0-7"",""descriptor"":""Brief, unclear or weakly organised response with frequent lapses in control.""}],""sampleAnswerNotes"":""A strong response plans before writing, matches the requested text type, develops ideas with specific detail, and edits for clarity."",""planningHints"":[""Clarify the audience and purpose before drafting."",""Plan the beginning, middle and ending or main sections."",""Choose two or three details you can develop rather than listing many briefly.""]}","narrative,planning,audience-awareness","narrative,written-expression","writing,narrative,timed-task",AI Generated,,,,Original generated content; review before publication,,,draft
WRITE-PERS-001,Writing,Written Expression,Persuasive & Discursive Writing,Persuasive,school-policy,Selective,6,3,20,1800,extended_response,Your school is considering replacing homework on Fridays with independent reading. Write a persuasive piece for the principal arguing for or against the idea.,,,,,,,,,,"Plan your response, keep the purpose clear, and leave time to check expression and conventions.",,,,,,,,textarea,standard,,"{""textType"":""persuasive"",""criteria"":[{""name"":""Ideas and content"",""description"":""Relevance, originality, development and control of ideas for the task."",""maxMarks"":6},{""name"":""Structure"",""description"":""Organisation, paragraphing, sequencing and cohesion."",""maxMarks"":5},{""name"":""Vocabulary"",""description"":""Precise word choice, tone and language appropriate to purpose."",""maxMarks"":3},{""name"":""Sentence control"",""description"":""Sentence variety, clarity and fluency."",""maxMarks"":3},{""name"":""Audience awareness"",""description"":""Control of voice, purpose and reader engagement."",""maxMarks"":2},{""name"":""Grammar, punctuation, spelling"",""description"":""Accuracy of conventions and proofreading control."",""maxMarks"":1}],""scoreBands"":[{""band"":""Excellent"",""range"":""17-20"",""descriptor"":""Confident, controlled writing with strong ideas, clear structure and purposeful language.""},{""band"":""Strong"",""range"":""13-16"",""descriptor"":""Clear and mostly sustained response with relevant detail and sound control.""},{""band"":""Developing"",""range"":""8-12"",""descriptor"":""Understands the task but ideas, structure or language control are uneven.""},{""band"":""Emerging"",""range"":""0-7"",""descriptor"":""Brief, unclear or weakly organised response with frequent lapses in control.""}],""sampleAnswerNotes"":""A strong response plans before writing, matches the requested text type, develops ideas with specific detail, and edits for clarity."",""planningHints"":[""Clarify the audience and purpose before drafting."",""Plan the beginning, middle and ending or main sections."",""Choose two or three details you can develop rather than listing many briefly.""]}","persuasive,planning,audience-awareness","persuasive,written-expression","writing,persuasive,timed-task",AI Generated,,,,Original generated content; review before publication,,,draft
WRITE-PERS-002,Writing,Written Expression,Persuasive & Discursive Writing,Persuasive,community-issue,Selective,6,3,20,1800,extended_response,Write a persuasive speech arguing that local parks should include more shaded places for children and older visitors.,,,,,,,,,,"Plan your response, keep the purpose clear, and leave time to check expression and conventions.",,,,,,,,textarea,standard,,"{""textType"":""persuasive"",""criteria"":[{""name"":""Ideas and content"",""description"":""Relevance, originality, development and control of ideas for the task."",""maxMarks"":6},{""name"":""Structure"",""description"":""Organisation, paragraphing, sequencing and cohesion."",""maxMarks"":5},{""name"":""Vocabulary"",""description"":""Precise word choice, tone and language appropriate to purpose."",""maxMarks"":3},{""name"":""Sentence control"",""description"":""Sentence variety, clarity and fluency."",""maxMarks"":3},{""name"":""Audience awareness"",""description"":""Control of voice, purpose and reader engagement."",""maxMarks"":2},{""name"":""Grammar, punctuation, spelling"",""description"":""Accuracy of conventions and proofreading control."",""maxMarks"":1}],""scoreBands"":[{""band"":""Excellent"",""range"":""17-20"",""descriptor"":""Confident, controlled writing with strong ideas, clear structure and purposeful language.""},{""band"":""Strong"",""range"":""13-16"",""descriptor"":""Clear and mostly sustained response with relevant detail and sound control.""},{""band"":""Developing"",""range"":""8-12"",""descriptor"":""Understands the task but ideas, structure or language control are uneven.""},{""band"":""Emerging"",""range"":""0-7"",""descriptor"":""Brief, unclear or weakly organised response with frequent lapses in control.""}],""sampleAnswerNotes"":""A strong response plans before writing, matches the requested text type, develops ideas with specific detail, and edits for clarity."",""planningHints"":[""Clarify the audience and purpose before drafting."",""Plan the beginning, middle and ending or main sections."",""Choose two or three details you can develop rather than listing many briefly.""]}","persuasive,planning,audience-awareness","persuasive,written-expression","writing,persuasive,timed-task",AI Generated,,,,Original generated content; review before publication,,,draft
WRITE-INF-001,Writing,Written Expression,Informative Writing,Informative,how-it-works,Selective,6,3,20,1800,extended_response,Write an informative article for younger students explaining how a school garden can save water and support insects.,,,,,,,,,,"Plan your response, keep the purpose clear, and leave time to check expression and conventions.",,,,,,,,textarea,standard,,"{""textType"":""informative"",""criteria"":[{""name"":""Ideas and content"",""description"":""Relevance, originality, development and control of ideas for the task."",""maxMarks"":6},{""name"":""Structure"",""description"":""Organisation, paragraphing, sequencing and cohesion."",""maxMarks"":5},{""name"":""Vocabulary"",""description"":""Precise word choice, tone and language appropriate to purpose."",""maxMarks"":3},{""name"":""Sentence control"",""description"":""Sentence variety, clarity and fluency."",""maxMarks"":3},{""name"":""Audience awareness"",""description"":""Control of voice, purpose and reader engagement."",""maxMarks"":2},{""name"":""Grammar, punctuation, spelling"",""description"":""Accuracy of conventions and proofreading control."",""maxMarks"":1}],""scoreBands"":[{""band"":""Excellent"",""range"":""17-20"",""descriptor"":""Confident, controlled writing with strong ideas, clear structure and purposeful language.""},{""band"":""Strong"",""range"":""13-16"",""descriptor"":""Clear and mostly sustained response with relevant detail and sound control.""},{""band"":""Developing"",""range"":""8-12"",""descriptor"":""Understands the task but ideas, structure or language control are uneven.""},{""band"":""Emerging"",""range"":""0-7"",""descriptor"":""Brief, unclear or weakly organised response with frequent lapses in control.""}],""sampleAnswerNotes"":""A strong response plans before writing, matches the requested text type, develops ideas with specific detail, and edits for clarity."",""planningHints"":[""Clarify the audience and purpose before drafting."",""Plan the beginning, middle and ending or main sections."",""Choose two or three details you can develop rather than listing many briefly.""]}","informative,planning,audience-awareness","informative,written-expression","writing,informative,timed-task",AI Generated,,,,Original generated content; review before publication,,,draft
WRITE-INF-002,Writing,Written Expression,Informative Writing,Informative,explainer,Selective,6,3,20,1800,extended_response,Write an informative text explaining three ways students can prepare for a challenging exam without becoming overwhelmed.,,,,,,,,,,"Plan your response, keep the purpose clear, and leave time to check expression and conventions.",,,,,,,,textarea,standard,,"{""textType"":""informative"",""criteria"":[{""name"":""Ideas and content"",""description"":""Relevance, originality, development and control of ideas for the task."",""maxMarks"":6},{""name"":""Structure"",""description"":""Organisation, paragraphing, sequencing and cohesion."",""maxMarks"":5},{""name"":""Vocabulary"",""description"":""Precise word choice, tone and language appropriate to purpose."",""maxMarks"":3},{""name"":""Sentence control"",""description"":""Sentence variety, clarity and fluency."",""maxMarks"":3},{""name"":""Audience awareness"",""description"":""Control of voice, purpose and reader engagement."",""maxMarks"":2},{""name"":""Grammar, punctuation, spelling"",""description"":""Accuracy of conventions and proofreading control."",""maxMarks"":1}],""scoreBands"":[{""band"":""Excellent"",""range"":""17-20"",""descriptor"":""Confident, controlled writing with strong ideas, clear structure and purposeful language.""},{""band"":""Strong"",""range"":""13-16"",""descriptor"":""Clear and mostly sustained response with relevant detail and sound control.""},{""band"":""Developing"",""range"":""8-12"",""descriptor"":""Understands the task but ideas, structure or language control are uneven.""},{""band"":""Emerging"",""range"":""0-7"",""descriptor"":""Brief, unclear or weakly organised response with frequent lapses in control.""}],""sampleAnswerNotes"":""A strong response plans before writing, matches the requested text type, develops ideas with specific detail, and edits for clarity."",""planningHints"":[""Clarify the audience and purpose before drafting."",""Plan the beginning, middle and ending or main sections."",""Choose two or three details you can develop rather than listing many briefly.""]}","informative,planning,audience-awareness","informative,written-expression","writing,informative,timed-task",AI Generated,,,,Original generated content; review before publication,,,draft
WRITE-DISC-001,Writing,Written Expression,Persuasive & Discursive Writing,Discursive,two-sided,Selective,6,3,20,1800,extended_response,Some people say competitions motivate students; others say they create too much pressure. Write a discursive response considering both sides before giving your view.,,,,,,,,,,"Plan your response, keep the purpose clear, and leave time to check expression and conventions.",,,,,,,,textarea,standard,,"{""textType"":""discursive"",""criteria"":[{""name"":""Ideas and content"",""description"":""Relevance, originality, development and control of ideas for the task."",""maxMarks"":6},{""name"":""Structure"",""description"":""Organisation, paragraphing, sequencing and cohesion."",""maxMarks"":5},{""name"":""Vocabulary"",""description"":""Precise word choice, tone and language appropriate to purpose."",""maxMarks"":3},{""name"":""Sentence control"",""description"":""Sentence variety, clarity and fluency."",""maxMarks"":3},{""name"":""Audience awareness"",""description"":""Control of voice, purpose and reader engagement."",""maxMarks"":2},{""name"":""Grammar, punctuation, spelling"",""description"":""Accuracy of conventions and proofreading control."",""maxMarks"":1}],""scoreBands"":[{""band"":""Excellent"",""range"":""17-20"",""descriptor"":""Confident, controlled writing with strong ideas, clear structure and purposeful language.""},{""band"":""Strong"",""range"":""13-16"",""descriptor"":""Clear and mostly sustained response with relevant detail and sound control.""},{""band"":""Developing"",""range"":""8-12"",""descriptor"":""Understands the task but ideas, structure or language control are uneven.""},{""band"":""Emerging"",""range"":""0-7"",""descriptor"":""Brief, unclear or weakly organised response with frequent lapses in control.""}],""sampleAnswerNotes"":""A strong response plans before writing, matches the requested text type, develops ideas with specific detail, and edits for clarity."",""planningHints"":[""Clarify the audience and purpose before drafting."",""Plan the beginning, middle and ending or main sections."",""Choose two or three details you can develop rather than listing many briefly.""]}","discursive,planning,audience-awareness","discursive,written-expression","writing,discursive,timed-task",AI Generated,,,,Original generated content; review before publication,,,draft
WRITE-DISC-002,Writing,Written Expression,Persuasive & Discursive Writing,Discursive,technology,Selective,6,3,20,1800,extended_response,"Should schools use more digital textbooks, fewer digital textbooks, or a balance of both? Write a discursive response exploring different viewpoints.",,,,,,,,,,"Plan your response, keep the purpose clear, and leave time to check expression and conventions.",,,,,,,,textarea,standard,,"{""textType"":""discursive"",""criteria"":[{""name"":""Ideas and content"",""description"":""Relevance, originality, development and control of ideas for the task."",""maxMarks"":6},{""name"":""Structure"",""description"":""Organisation, paragraphing, sequencing and cohesion."",""maxMarks"":5},{""name"":""Vocabulary"",""description"":""Precise word choice, tone and language appropriate to purpose."",""maxMarks"":3},{""name"":""Sentence control"",""description"":""Sentence variety, clarity and fluency."",""maxMarks"":3},{""name"":""Audience awareness"",""description"":""Control of voice, purpose and reader engagement."",""maxMarks"":2},{""name"":""Grammar, punctuation, spelling"",""description"":""Accuracy of conventions and proofreading control."",""maxMarks"":1}],""scoreBands"":[{""band"":""Excellent"",""range"":""17-20"",""descriptor"":""Confident, controlled writing with strong ideas, clear structure and purposeful language.""},{""band"":""Strong"",""range"":""13-16"",""descriptor"":""Clear and mostly sustained response with relevant detail and sound control.""},{""band"":""Developing"",""range"":""8-12"",""descriptor"":""Understands the task but ideas, structure or language control are uneven.""},{""band"":""Emerging"",""range"":""0-7"",""descriptor"":""Brief, unclear or weakly organised response with frequent lapses in control.""}],""sampleAnswerNotes"":""A strong response plans before writing, matches the requested text type, develops ideas with specific detail, and edits for clarity."",""planningHints"":[""Clarify the audience and purpose before drafting."",""Plan the beginning, middle and ending or main sections."",""Choose two or three details you can develop rather than listing many briefly.""]}","discursive,planning,audience-awareness","discursive,written-expression","writing,discursive,timed-task",AI Generated,,,,Original generated content; review before publication,,,draft
WRITE-REPORT-001,Writing,Written Expression,Informative Writing,Newspaper report,school-event,Selective,6,3,20,1800,extended_response,"Write a newspaper report about a class science display that attracted unexpected visitors from the local community. Include a headline, key facts and a quotation.",,,,,,,,,,"Plan your response, keep the purpose clear, and leave time to check expression and conventions.",,,,,,,,textarea,standard,,"{""textType"":""report"",""criteria"":[{""name"":""Ideas and content"",""description"":""Relevance, originality, development and control of ideas for the task."",""maxMarks"":6},{""name"":""Structure"",""description"":""Organisation, paragraphing, sequencing and cohesion."",""maxMarks"":5},{""name"":""Vocabulary"",""description"":""Precise word choice, tone and language appropriate to purpose."",""maxMarks"":3},{""name"":""Sentence control"",""description"":""Sentence variety, clarity and fluency."",""maxMarks"":3},{""name"":""Audience awareness"",""description"":""Control of voice, purpose and reader engagement."",""maxMarks"":2},{""name"":""Grammar, punctuation, spelling"",""description"":""Accuracy of conventions and proofreading control."",""maxMarks"":1}],""scoreBands"":[{""band"":""Excellent"",""range"":""17-20"",""descriptor"":""Confident, controlled writing with strong ideas, clear structure and purposeful language.""},{""band"":""Strong"",""range"":""13-16"",""descriptor"":""Clear and mostly sustained response with relevant detail and sound control.""},{""band"":""Developing"",""range"":""8-12"",""descriptor"":""Understands the task but ideas, structure or language control are uneven.""},{""band"":""Emerging"",""range"":""0-7"",""descriptor"":""Brief, unclear or weakly organised response with frequent lapses in control.""}],""sampleAnswerNotes"":""A strong response plans before writing, matches the requested text type, develops ideas with specific detail, and edits for clarity."",""planningHints"":[""Clarify the audience and purpose before drafting."",""Plan the beginning, middle and ending or main sections."",""Choose two or three details you can develop rather than listing many briefly.""]}","newspaper-report,planning,audience-awareness","report,written-expression","writing,report,timed-task",AI Generated,,,,Original generated content; review before publication,,,draft
